epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5619,2.06051,5.62913,0.99114,0.53875,0.04548,0.02779,0.01715,1.82976,3.77486,0.89599,5.96203e-05,5.96203e-05,5.96203e-05
2,183.946,1.85643,4.25933,0.8949,0.59582,0.08055,0.06276,0.03867,1.66333,2.93902,0.86889,0.000114563,0.000114563,0.000114563
3,271.012,1.72624,3.66542,0.87675,0.40476,0.1544,0.09292,0.05981,1.52574,2.6041,0.85873,0.00016478,0.00016478,0.00016478
4,352.705,1.64117,3.29612,0.87234,0.5603,0.1333,0.12295,0.07702,1.44541,2.25815,0.85306,0.000157735,0.000157735,0.000157735
5,435.26,1.58839,3.04184,0.86502,0.48655,0.20906,0.14601,0.09594,1.38742,2.13994,0.8499,0.000150646,0.000150646,0.000150646
6,524.987,1.5478,2.82314,0.86529,0.6079,0.21499,0.1983,0.13013,1.36933,1.92339,0.85155,0.000143558,0.000143558,0.000143558
7,614.685,1.53042,2.65784,0.86406,0.55401,0.20811,0.22119,0.14636,1.32445,1.88239,0.84135,0.00013647,0.00013647,0.00013647
8,705.57,1.47798,2.47634,0.85867,0.41217,0.30317,0.26993,0.1793,1.30441,1.67286,0.84043,0.000129381,0.000129381,0.000129381
9,789.911,1.47411,2.38924,0.85705,0.55388,0.32744,0.30885,0.19697,1.32251,1.59428,0.84165,0.000122293,0.000122293,0.000122293
10,868.212,1.43451,2.29115,0.84772,0.6877,0.27358,0.31014,0.20561,1.26409,1.53989,0.84116,0.000115204,0.000115204,0.000115204
11,950.655,1.45782,2.22229,0.85279,0.56699,0.29953,0.32059,0.21459,1.24729,1.50365,0.83774,0.000108116,0.000108116,0.000108116
12,1032.99,1.40794,2.15949,0.84375,0.55058,0.34114,0.34391,0.22697,1.23619,1.43618,0.83279,0.000101028,0.000101028,0.000101028
13,1114.08,1.42044,2.0872,0.84673,0.6404,0.31883,0.36884,0.25237,1.20716,1.41842,0.82988,9.39392e-05,9.39392e-05,9.39392e-05
14,1195.19,1.39987,1.99468,0.83977,0.59645,0.33898,0.37178,0.24887,1.21567,1.35867,0.83154,8.68508e-05,8.68508e-05,8.68508e-05
15,1277.04,1.37293,1.95681,0.84033,0.62712,0.35989,0.3832,0.26014,1.19217,1.34287,0.82943,7.97624e-05,7.97624e-05,7.97624e-05
16,1358.19,1.36308,2.05608,0.83062,0.52715,0.39354,0.38859,0.26159,1.20563,1.34065,0.82808,7.2674e-05,7.2674e-05,7.2674e-05
17,1445.73,1.34006,1.98382,0.82338,0.64044,0.38923,0.40082,0.26958,1.18482,1.32844,0.82783,6.55856e-05,6.55856e-05,6.55856e-05
18,1525.92,1.32246,1.91084,0.82339,0.56801,0.41876,0.40354,0.27477,1.17669,1.27338,0.82667,5.84972e-05,5.84972e-05,5.84972e-05
19,1605.92,1.3053,1.85076,0.82009,0.57265,0.42141,0.42322,0.28784,1.18323,1.2365,0.82724,5.14088e-05,5.14088e-05,5.14088e-05
20,1685.02,1.30624,1.84348,0.82143,0.55396,0.43616,0.44311,0.30175,1.15848,1.23178,0.82489,4.43204e-05,4.43204e-05,4.43204e-05
21,1763.3,1.28265,1.78745,0.81241,0.51884,0.45024,0.43813,0.29743,1.15372,1.16537,0.82438,3.7232e-05,3.7232e-05,3.7232e-05
22,1843.92,1.29023,1.79597,0.81151,0.54124,0.44339,0.43656,0.29816,1.15388,1.19337,0.82336,3.01436e-05,3.01436e-05,3.01436e-05
23,1925.18,1.2757,1.73438,0.81763,0.58951,0.44834,0.45093,0.30867,1.14175,1.15658,0.82165,2.30552e-05,2.30552e-05,2.30552e-05
24,2006.93,1.28394,1.7289,0.81965,0.56001,0.47164,0.45034,0.3108,1.13631,1.15473,0.8204,1.59668e-05,1.59668e-05,1.59668e-05
25,2088.91,1.25117,1.70502,0.81068,0.53439,0.47901,0.45925,0.31749,1.12764,1.12804,0.82017,8.8784e-06,8.8784e-06,8.8784e-06
