epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2344,1.31712,5.14791,0.95934,0.54978,0.09797,0.07098,0.05104,1.16794,2.9401,0.90344,5.94814e-05,5.94814e-05,5.94814e-05
2,135.624,1.21217,3.56755,0.89796,0.57732,0.17784,0.16858,0.11778,1.07752,2.06664,0.88699,0.00011443,0.00011443,0.00011443
3,201.511,1.12665,2.83146,0.89503,0.59632,0.28511,0.28874,0.20272,1.01938,1.6433,0.87717,0.000164653,0.000164653,0.000164653
4,263.04,1.09031,2.37624,0.88259,0.62926,0.38536,0.40474,0.29007,0.96953,1.34194,0.85784,0.000157735,0.000157735,0.000157735
5,321.901,1.03448,2.04133,0.87086,0.60985,0.44255,0.48011,0.34587,0.93045,1.1847,0.85771,0.000150646,0.000150646,0.000150646
6,386.55,1.00899,1.83407,0.87155,0.67053,0.5096,0.54898,0.40016,0.89872,1.05389,0.84614,0.000143558,0.000143558,0.000143558
7,457.038,0.97542,1.66211,0.86749,0.72982,0.55927,0.61876,0.45541,0.88504,0.94494,0.84818,0.00013647,0.00013647,0.00013647
8,512.259,0.95777,1.52116,0.86562,0.76853,0.59662,0.67625,0.49196,0.88023,0.87204,0.84891,0.000129381,0.000129381,0.000129381
9,571.105,0.94881,1.42483,0.86339,0.75904,0.64485,0.70523,0.51165,0.88396,0.86798,0.85128,0.000122293,0.000122293,0.000122293
10,627.646,0.94363,1.34322,0.86011,0.8255,0.67472,0.74569,0.54823,0.86073,0.80464,0.84542,0.000115204,0.000115204,0.000115204
11,686.697,0.92296,1.28581,0.85724,0.84103,0.69322,0.78993,0.57553,0.85049,0.74672,0.84366,0.000108116,0.000108116,0.000108116
12,746.475,0.90732,1.20999,0.85282,0.80366,0.75196,0.8037,0.60096,0.83115,0.714,0.84033,0.000101028,0.000101028,0.000101028
13,805.238,0.88826,1.16408,0.85116,0.89357,0.71686,0.83109,0.61208,0.82257,0.67775,0.83734,9.39392e-05,9.39392e-05,9.39392e-05
14,866.726,0.88691,1.1211,0.8499,0.82762,0.7959,0.84858,0.62661,0.82472,0.66103,0.83901,8.68508e-05,8.68508e-05,8.68508e-05
15,928.454,0.86351,1.07373,0.84874,0.90731,0.76173,0.85732,0.63388,0.81898,0.64769,0.83724,7.97624e-05,7.97624e-05,7.97624e-05
16,1008.57,0.87267,1.25087,0.85082,0.88898,0.78286,0.85916,0.63367,0.82568,0.66235,0.83545,7.2674e-05,7.2674e-05,7.2674e-05
17,1070.02,0.84934,1.16724,0.84638,0.86686,0.80321,0.87128,0.64502,0.81819,0.64407,0.83454,6.55856e-05,6.55856e-05,6.55856e-05
18,1121.75,0.83482,1.10679,0.83656,0.90341,0.80097,0.88107,0.65201,0.81559,0.62076,0.8354,5.84972e-05,5.84972e-05,5.84972e-05
19,1192.66,0.8299,1.08248,0.84549,0.87116,0.83843,0.88798,0.66068,0.81714,0.60502,0.83698,5.14088e-05,5.14088e-05,5.14088e-05
20,1251.65,0.82503,1.05894,0.84095,0.92342,0.80986,0.89661,0.66479,0.80824,0.59771,0.83481,4.43204e-05,4.43204e-05,4.43204e-05
21,1308.82,0.81591,1.03169,0.83789,0.88998,0.84601,0.90429,0.67169,0.79933,0.59031,0.83381,3.7232e-05,3.7232e-05,3.7232e-05
22,1369.24,0.81025,1.01989,0.83829,0.92497,0.82644,0.90466,0.67993,0.79493,0.57761,0.83215,3.01436e-05,3.01436e-05,3.01436e-05
23,1433.11,0.80577,0.99319,0.84158,0.92765,0.82347,0.91006,0.67927,0.79757,0.575,0.83299,2.30552e-05,2.30552e-05,2.30552e-05
24,1497.31,0.80051,0.98669,0.83523,0.89954,0.85539,0.91149,0.68422,0.79033,0.57194,0.83233,1.59668e-05,1.59668e-05,1.59668e-05
25,1552.3,0.79117,0.98093,0.83474,0.89857,0.86034,0.91216,0.68567,0.79296,0.56829,0.83267,8.8784e-06,8.8784e-06,8.8784e-06
